SLNo,CS1,DS,DM,PP,JP,ES,P-S,DS-JAVA LAB,PP LAB,PT,TOTAL,ATTEND
Total Classes,57,55,51,47,57,30,55,42,45,22,461,100
1,34,48,36,31,35,21,40,33,36,12,326,70.72
2,53,47,43,45,50,29,50,36,45,18,416,90.24
3,37,36,33,32,39,17,37,27,33,8,299,64.86
4,41,45,41,38,47,25,43,36,42,16,374,81.13
5,40,37,37,35,40,25,44,30,39,14,341,73.97
6,34,39,32,30,40,27,41,30,45,18,336,72.89
7,36,38,38,32,41,26,43,30,33,8,325,70.5
8,36,45,40,35,49,26,45,33,30,18,357,77.44
9,47,44,42,38,44,27,45,33,39,16,375,81.34
10,41,32,34,36,40,27,41,27,24,16,318,68.98
11,49,36,37,40,45,29,43,33,42,20,374,81.13
12,46,36,32,38,39,26,43,27,36,14,337,73.1
13,44,44,40,35,43,26,47,30,36,20,365,79.18
14,41,13,37,35,43,26,42,30,36,14,317,68.76
15,45,46,42,41,48,27,42,36,45,14,386,83.73
16,42,43,38,34,45,25,40,36,3,18,324,70.28
17,44,36,40,37,45,24,43,42,42,18,371,80.48
18,43,48,46,43,50,25,53,36,42,16,402,87.2
19,49,50,45,39,48,25,51,36,39,16,398,86.33
20,39,45,40,32,47,21,43,39,42,16,364,78.96
21,51,43,41,45,48,22,49,33,42,20,394,85.47
22,43,48,40,40,49,27,46,36,39,14,382,82.86
23,44,38,33,36,46,25,40,36,33,14,345,74.84
24,42,37,39,38,40,25,40,27,36,16,340,73.75
25,34,40,41,37,37,23,40,33,24,16,325,70.5
26,39,41,30,34,44,21,43,30,42,16,340,73.75
27,47,45,36,37,45,26,44,36,39,22,377,81.78
28,47,44,42,39,46,24,46,30,36,14,368,79.83
29,50,45,37,40,46,24,42,42,42,10,378,82
30,44,47,40,39,46,25,45,39,42,14,381,82.65
31,48,48,45,40,43,28,43,36,36,20,387,83.95
32,30,33,29,31,36,22,32,24,30,6,273,59.22
33,38,45,45,40,46,27,48,36,45,18,388,84.16
34,52,46,46,45,54,27,54,33,42,20,419,90.89
35,49,45,44,40,51,24,47,36,45,16,397,86.12
36,50,49,45,43,52,26,48,36,45,16,410,88.94
37,41,32,28,34,39,25,31,27,33,12,302,65.51
38,41,33,29,33,34,27,40,27,39,12,315,68.33
39,51,49,45,43,54,28,50,36,39,20,415,90.02
40,35,38,31,33,34,19,40,24,27,18,299,64.86
41,44,44,37,39,47,24,47,27,30,16,355,77.01
42,43,40,39,37,44,27,47,33,33,16,359,77.87
43,47,47,41,40,48,25,48,36,36,14,382,82.86
44,46,40,38,41,45,29,41,39,33,18,370,80.26
45,46,41,40,40,46,28,41,30,42,20,374,81.13
46,0,0,0,0,0,0,0,0,0,0,0,0
47,44,36,39,35,43,25,45,36,39,18,360,78.09
48,48,42,43,41,47,27,45,39,39,18,389,84.38
49,42,40,43,39,44,27,41,36,36,16,364,78.96
50,51,52,43,44,52,29,49,39,42,16,417,90.46
51,40,39,39,34,36,26,41,33,33,14,335,72.67
52,50,46,39,42,49,28,46,33,36,20,389,84.38
53,34,35,29,31,39,21,35,30,33,10,297,64.43
54,46,44,32,38,47,24,42,33,36,20,362,78.52
55,49,47,45,43,46,26,48,36,30,20,390,84.6
56,44,43,36,39,49,24,46,39,39,16,375,81.34
57,49,46,41,37,48,24,40,39,39,22,385,83.51
58,26,38,28,28,26,5,35,27,18,16,247,53.58
59,36,42,32,32,38,24,36,33,30,18,321,69.63
60,43,44,40,38,42,25,45,33,39,20,369,80.04
61,40,38,35,39,37,24,47,33,36,14,343,74.4
62,43,48,42,41,44,25,49,42,42,20,396,85.9
63,49,49,43,33,54,25,47,39,39,20,398,86.33
64,41,51,41,41,48,21,46,39,42,18,388,84.16
65,37,42,41,35,38,23,39,36,36,20,347,75.27
66,43,48,36,39,46,24,42,39,42,20,379,82.21
,,, ,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CLASS INCHARGE,,,,HOD,,,,,Dean SOE,,,
