`,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL. No.,Mid-1,Mid-2,Mid-3,Mid-1,Mid-2,Mid-3,Mid-2,Mid-3,Mid-1,Mid-2,Mid-2,Mid-3,Mid-1,Mid-2,Mid-3,Mid-2,Mid-3,Mid-1,Mid-2,Mid-3,Mid-1,Mid-2,Mid-3,Mid-2,Mid-3,Mid-1,Mid-2,Mid-3
,CS1,,,DS,,,,,DM,,,,PP,,,,,JP,,,,,,,,P&S,,
1,16.5,,,19,,,19,,17,15,,,16,,,19,AB,16,,,,,,A,,16,,
2,9.5,,,11,,,13,,13,12,,,15,,,17,,11,,,,,,14,,15,,
3,9,,,11,,,12,,13,6,,,14,,,13,13,5,,,,,,17,,12,,
4,17,,,20,,,20,,20,18,,,17,,,20,,18,,,,,,20,,18,,
5,10,,,15,,,12,,17,17,,,11,,,11,16,11,,,,,,17,,15,,
6,2.5,,,20,,,13,,13,6,,,9,,,7,13,6,,,,,,12,,9,,
7,11.5,,,15,,,15,,13,12,,,10,,,11,12,6,,,,,,15,,8,,
8,16.5,,,18,,,A,,14,A,,,19,,,AB,15,19,,,,,,A,,16,,
9,11,,,18,,,17,,17,15,,,14,,,9,14,13,,,,,,15,,15,,
10,0,,,6,,,A,,3,12,,,3,,,2,2,1,,,,,,A,,1,,
11,7,,,12,,,18,,19,14,,,17,,,16,,14,,,,,,10,,18,,
12,13.5,,,14,,,17,,11,17,,,19,,,17,AB,1,,,,,,13,,15,,
13,9.5,,,11,,,17,,17,15,,,17,,,18,,16,,,,,,13,,17,,
14,8.5,,,6,,,17,,5,12,,,12,,,13,7,1,,,,,,16,,12,,
15,18.5,,,20,,,19,,15,19,,,17,,,16,,15,,,,,,20,,19,,
16,16.5,,,17,,,20,,19,19,,,14,,,19,,12,,,,,,7,,16,,
17,1,,,5,,,8,,2,12,,,10,,,8,9,6,,,,,,4,,3,,
18,15.5,,,18,,,16,,19,18,,,16,,,13,10,18,,,,,,20,,12,,
19,11.5,,,17,,,19,,16,19,,,17,,,17,,15,,,,,,17,,17,,
20,15.5,,,19,,,20,,18,19,,,19,,,20,,20,,,,,,19,,19,,
21,12.5,,,11,,,19,,13,18,,,16,,,14,,10,,,,,,12,,15,,
22,13.5,,,19,,,18,,17,18,,,15,,,18,,16,,,,,,19,,14,,
23,1.5,,,10,,,8,,8,A,,,9,,,2,11,3,,,,,,4,,6,,
24,2,,,7,,,15,,2,10,,,4,,,6,3,0,,,,,,13,,1,,
25,3,,,11,,,13,,4,8,,,4,,,10,,5,,,,,,4,,2,,
26,1.5,,,11,,,6,,5,8,,,3,,,6,3,A,,,,,,8,,4,,
27,11.5,,,13,,,15,,17,15,,,12,,,19,14,2,,,,,,14,,16,,
28,12.5,,,12,,,18,,12,14,,,16,,,17,AB,12,,,,,,10,,4,,
29,6.5,,,2,,,17,,5,12,,,14,,,16,,5,,,,,,17,,9,,
30,6,,,15,,,13,,3,9,,,10,,,15,,4,,,,,,16,,5,,
31,16,,,15,,,A,,12,A,,,13,,,AB,15,11,,,,,,15,,11,,
32,3,,,3,,,6,,2,4,,,1,,,8,9,3,,,,,,5,,3,,
33,11,,,8,,,15,,15,15,,,12,,,17,,7,,,,,,11,,10,,
34,16,,,15,,,19,,17,18,,,16,,,20,,17,,,,,,17,,19,,
35,12,,,16,,,13,,12,13,,,12,,,12,,7,,,,,,A,,14,,
36,16,,,19,,,17,,16,12,,,15,,,19,AB,13,,,,,,7,,14,,
37,AB,,,A,,,5,,3,5,,,6,,,7,12,4,,,,,,6,,1,,
38,3.5,,,13,,,9,,A,8,,,8,,,8,13,7,,,,,,5,,3,,
39,19,,,19,,,17,,18,16,,,17,,,17,,12,,,,,,17,,17,,
40,4.5,,,1,,,5,,7,9,,,6,,,4,,1,,,,,,8,,13,,
41,14.5,,,16,,,16,,10,12,,,13,,,11,,9,,,,,,A,,12,,
42,1,,,1,,,5,,3,12,,,6,,,5,6,6,,,,,,6,,A,,
43,9,,,4,,,9,,11,12,,,10,,,6,9,0,,,,,,16,,16,,
44,10,,,20,,,18,,7,9,,,15,,,19,,5,,,,,,15,,10,,
45,19,,,20,,,20,,16,20,,,19,,,19,,A,,,,,,20,,19,,
46,AB,,,A,,,A,,A,A,,,A,,,AB,,A,,,,,,A,,A,,
47,11,,,11,,,16,,13,12,,,13,,,9,14,4,,,,,,4,,10,,
48,18,,,16,,,19,,17,19,,,17,,,20,,13,,,,,,20,,17,,
49,AB,,,A,,,17,,A,19,,,A,,,20,16,A,,,,,,18,,A,,
50,7,,,6,,,12,,7,13,,,13,,,15,,8,,,,,,20,,13,,
51,AB,,,A,,,13,,A,17,,,A,,,13,10,13,,,,,,17,,A,,
52,10.5,,,5,,,14,,6,12,,,13,,,17,,4,,,,,,15,,7,,
53,9,,,5,,,7,,11,A,,,12,,,5,5,0,,,,,,A,,5,,
54,10,,,3,,,9,,13,7,,,10,,,5,11,2,,,,,,2,,9,,
55,16,,,15,,,19,,18,19,,,17,,,19,,11,,,,,,18,,19,,
56,13,,,20,,,15,,15,16,,,14,,,18,AB,7,,,,,,18,,8,,
57,8,,,12,,,15,,12,15,,,15,,,19,20,6,,,,,,17,,6,,
58,6,,,1,,,8,,5,12,,,5,,,3,14,0,,,,,,12,,2,,
59,8.5,,,2,,,7,,11,10,,,11,,,12,13,4,,,,,,10,,10,,
60,9,,,1,,,5,,6,8,,,6,,,16,4,0,,,,,,15,,10,,
61,0,,,5,,,6,,1,6,,,9,,,5,5,3,,,,,,12,,10,,
62,12,,,17,,,17,,14,17,,,16,,,18,,20,,,,,,20,,16,,
63,16,,,19,,,20,,18,16,,,17,,,20,,19,,,,,,20,,15,,
64,12.5,,,15,,,14,,12,10,,,16,,,13,,16,,,,,,17,,12,,
65,6,,,7,,,9,,8,3,,,13,,,4,,12,,,,,,2,,8,,
66,9,,,12,,,13,,11,12,,,14,,,17,,15,,,,,,16,,7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS INCHARGE,,,,HOD,,,,,,,,Dean SOE,,,,,,,,,,,,,,,,
